gb,gi,sp,dbj,no_uniprot,tr,gnl,gpp,ref,emb
IACK01137971,1301288993.0,,IACK01137971,yes,,,,,
IACK01153326,1301256783.0,,IACK01153326,yes,,,,,
IACK01170438,1301225134.0,,IACK01170438,yes,,,,,
IACK01171799,1301223719.0,,IACK01171799,yes,,,,,
IACK01179260,1301214261.0,,IACK01179260,yes,,,,,
IACK01184724,1301202492.0,,IACK01184724,yes,,,,,
IACK01193830,1301183905.0,,IACK01193830,yes,,,,,
IACK01196011,1301179478.0,,IACK01196011,yes,,,,,
IACK01212632,1301159906.0,,IACK01212632,yes,,,,,
IACK01227912,1301144116.0,,IACK01227912,yes,,,,,
IACK01227913,1301144115.0,,IACK01227913,yes,,,,,
IACK01242084,1301126052.0,,IACK01242084,yes,,,,,
IACK01242085,1301126050.0,,IACK01242085,yes,,,,,
IACM01022253,1573564375.0,,IACM01022253,yes,,,,,
IACM01022255,1573564371.0,,IACM01022255,yes,,,,,
IACM01029668,1573549926.0,,IACM01029668,yes,,,,,
IACM01029686,1573549907.0,,IACM01029686,yes,,,,,
IACM01029730,1573549861.0,,IACM01029730,yes,,,,,
IACM01029752,1573549839.0,,IACM01029752,yes,,,,,
IACM01086450,1573468947.0,,IACM01086450,yes,,,,,
IACM01088188,1573467008.0,,IACM01088188,yes,,,,,
IACM01092118,1573462671.0,,IACM01092118,yes,,,,,
IACM01115014,1573437297.0,,IACM01115014,yes,,,,,
IACM01128650,1573422355.0,,IACM01128650,yes,,,,,
IACM01130693,1573420174.0,,IACM01130693,yes,,,,,
IACM01148308,1573396003.0,,IACM01148308,yes,,,,,
IACM01149051,1573395211.0,,IACM01149051,yes,,,,,
IACM01149052,1573395210.0,,IACM01149052,yes,,,,,
IACM01156860,1573379910.0,,IACM01156860,yes,,,,,
IACM01172481,1573363019.0,,IACM01172481,yes,,,,,
IACM01174987,1573360303.0,,IACM01174987,yes,,,,,
IACN01003279,1573232649.0,,IACN01003279,yes,,,,,
IACN01019456,1573214847.0,,IACN01019456,yes,,,,,
IACN01019457,1573214846.0,,IACN01019457,yes,,,,,
IACN01037374,1573195717.0,,IACN01037374,yes,,,,,
IACN01037379,1573195712.0,,IACN01037379,yes,,,,,
IACN01048942,1573182647.0,,IACN01048942,yes,,,,,
IACN01048954,1573182635.0,,IACN01048954,yes,,,,,
IACN01048964,1573182625.0,,IACN01048964,yes,,,,,
IACN01064319,1573165039.0,,IACN01064319,,A0A2D4PD59,,,,
IACN01070774,1573157835.0,,IACN01070774,yes,,,,,
IACN01070775,1573157834.0,,IACN01070775,yes,,,,,
IACN01070777,1573157832.0,,IACN01070777,yes,,,,,
IACN01070786,1573157823.0,,IACN01070786,yes,,,,,
IACN01077346,1573150596.0,,IACN01077346,yes,,,,,
IACN01080103,1573147610.0,,IACN01080103,yes,,,,,
IACN01083611,1573143710.0,,IACN01083611,yes,,,,,
IACN01083613,1573143708.0,,IACN01083613,yes,,,,,
IACN01083857,1573143441.0,,IACN01083857,yes,,,,,
IACN01083858,1573143440.0,,IACN01083858,yes,,,,,
IACN01083864,1573143434.0,,IACN01083864,yes,,,,,
IACN01093897,1573100741.0,,IACN01093897,yes,,,,,
IACN01095837,1573098626.0,,IACN01095837,yes,,,,,
IACN01099285,1573094899.0,,IACN01099285,yes,,,,,
IACN01100666,1573093383.0,,IACN01100666,yes,,,,,
IACN01100674,1573093375.0,,IACN01100674,yes,,,,,
IACN01111607,1573081427.0,,IACN01111607,yes,,,,,
IACN01111608,1573081426.0,,IACN01111608,yes,,,,,
JG743131,327507475.0,,,yes,,dbEST,,,
JG743238,327507582.0,,,yes,,dbEST,,,
JG743269,327506667.0,,,yes,,dbEST,,,
JG743299,327506697.0,,,yes,,dbEST,,,
JG743498,327506896.0,,,yes,,dbEST,,,
JG743547,327506945.0,,,yes,,dbEST,,,
JG743557,327506955.0,,,yes,,dbEST,,,
JG743646,327507044.0,,,yes,,dbEST,,,
JG743753,327507151.0,,,yes,,dbEST,,,
JG743762,327507160.0,,,yes,,dbEST,,,
JG743796,327507194.0,,,yes,,dbEST,,,
JG743827,327507225.0,,,yes,,dbEST,,,
JG743918,327507316.0,,,yes,,dbEST,,,
JG743944,327507342.0,,,yes,,dbEST,,,
JG744005,327507403.0,,,yes,,dbEST,,,
JK264299,345194513.0,,,yes,,dbEST,,,
JQ247016,408683176.0,K9MCX0,,,,,,,
JX467122,478414790.0,,,,M9T1L2,bpid:PRJNA189575,,,
JX467124,478414794.0,,,,M9SZR1,bpid:PRJNA189580,,,
JZ904769,1013070679.0,,,yes,,dbEST,,,
JZ904898,1013070808.0,,,yes,,dbEST,,,
JZ904948,1013070858.0,,,yes,,dbEST,,,
KC862258,478415061.0,,,,M9T2J4,,,,
KJ477098,630870085.0,,,,A0A024AYC2,,,,
KJ495734,630870196.0,,,,A0A024AXD8,,,,
KP636956,833662068.0,,,,A0A0G3YJD1,,,,
KP670451,852380455.0,,,,A0A0H4BKI7,,,,
KP670453,852380463.0,,,,A0A0H4BLY9,,,,
KP670454,852380467.0,,,,A0A0H4BJD1,,,,
KP670464,852380508.0,,,,A0A0H4BJD8,,,,
KP686078,859131353.0,,,,A0A0H4J512,,,,
KP686082,859131547.0,,,,A0A0H4IRA8,,,,
KP686088,859131821.0,,,,A0A0H4J521,,,,
KU666924,1039726060.0,,,,A0A193CHK9,,,,
KU666926,1039726064.0,,,,A0A193CHL5,,,,
KU666927,1039726066.0,,,,A0A193CHL1,,,,
KU666933,1039726078.0,,,,A0A193CHL7,,,,
KU666934,1039726080.0,,,,A0A193CHL8,,,,
KU666935,1039726082.0,,,,A0A193CHM4,,,,
KU666936,1039726084.0,,,,A0A193CHM5,,,,
KU666937,1039726086.0,,,,A0A193CHM1,,,,
KY635901,1352195546.0,A0A2P1BST7,,,,,,,
KY635902,1352195604.0,A0A2P1BSS9,,,,,,,
KY635903,1352195861.0,A0A2P1BSU3,,,,,,,
KY635904,1352196096.0,A0A2P1BSS8,,,,,,,
MH233023,1446208348.0,,,,A0A346CLY6,,,,
MH233024,1446208350.0,,,,A0A346CLY7,,,,
MH233025,1446208352.0,,,,A0A346CLY8,,,,
MH233028,1446208358.0,,,,A0A346CLZ1,,,,
MH233045,1446208392.0,,,,A0A346CM08,,,,
MH233062,1446208453.0,,,,A0A346CM25,,,,
MH233088,1446201929.0,,,,A0A346CI88,,,,
MH233089,1446201931.0,,,,A0A346CI89,,,,
MH233109,1446201972.0,,,,A0A346CIA9,,,,
MH233111,1446201976.0,,,,A0A346CIB1,,,,
MH233116,1446201989.0,,,,A0A346CIB6,,,,
MH233117,1446201991.0,,,,A0A346CIB7,,,,
MW575015,1996370514.0,,,,A0A898IJN7,,,,
MW575017,1996370518.0,,,,A0A898IKH0,,,,
MW575018,1996370520.0,,,,A0A898IMX4,,,,
MW575019,1996370522.0,,,,A0A898ILD4,,,,
MW575021,1996370526.0,,,,A0A898IPF7,,,,
MW575022,1996370528.0,,,,A0A898INK0,,,,
MW575023,1996370530.0,,,,A0A898IMW8,,,,
MW575033,1996370550.0,,,,A0A898IN07,,,,
MW575040,1996370564.0,,,,A0A898IPN2,,,,
MW575043,1996370570.0,,,,A0A898IN21,,,,
MW575045,1996370574.0,,,,A0A898IJZ2,,,,
MW575049,1996370582.0,,,,A0A898ILL6,,,,
MW575050,1996370584.0,,,,A0A898IPN4,,,,
MW575051,1996370586.0,,,,A0A898IPK1,,,,
MW575053,1996370590.0,,,,A0A898IN41,,,,
MW575054,1996370592.0,,,,A0A898IN63,,,,
MW575055,1996370594.0,,,,A0A898IK11,,,,
MW575056,1996370596.0,,,,A0A898IL54,,,,
MW575061,1996370606.0,,,,A0A898IPK7,,,,
MW575062,1996370608.0,,,,A0A898INM6,,,,
MW575063,1996370610.0,,,,A0A898IN56,,,,
MW575065,1996370614.0,,,,A0A898IK81,,,,
MW575067,1996370618.0,,,,A0A898IKZ4,,,,
MW575069,1996370622.0,,,,A0A898ILQ5,,,,
MW575070,1996370624.0,,,,A0A898IPP1,,,,
MW575071,1996370626.0,,,,A0A898IPL1,,,,
MW575075,1996370634.0,,,,A0A898IKB4,,,,
MW575076,1996370636.0,,,,A0A898IL83,,,,
MW575077,1996370638.0,,,,A0A898IL31,,,,
MW575080,1996370644.0,,,,A0A898IPP4,,,,
MW575081,1996370646.0,,,,A0A898IPM2,,,,
NC_045548,1799127152.0,,,yes,,NCBI_GENOMES,GPC_000005877,NC_045548,
NP_001039535,114051580.0,,,,Q1RMM2,,,NP_001039535,
NP_001124018,194474092.0,,,,D4A6F2,,,NP_001124018,
NP_001124023,194474066.0,,,,D3ZUR5,,,NP_001124023,
NP_002337,4505049.0,Q16553,,,,,,NP_002337,
NP_080947,110625683.0,Q9DD23,,,,,,NP_080947,
NP_803253,29294643.0,P0DP57,,,,,,NP_803253,
NP_803430,29294645.0,P0DP58,,,,,,NP_803430,
NP_991108,45387925.0,Q6UXB3,,,F1T0L0,,,NP_991108,
NW_006541926,588463551.0,,,yes,,ASM:GCF_000186315,GPS_003473982,NW_006541926,
NW_006543148,588462329.0,,,yes,,ASM:GCF_000186315,GPS_003475204,NW_006543148,
NW_023011746,1841388777.0,,,yes,,ASM:GCF_001185375,GPS_019777547,NW_023011746,
NW_023031289,1841365406.0,,,yes,,ASM:GCF_001185375,GPS_019797090,NW_023031289,
NW_023032262,1841364388.0,,,yes,,ASM:GCF_001185375,GPS_019798063,NW_023032262,
OL366256,2205501330.0,,,yes,,,,,
OL366257,2205501332.0,,,yes,,,,,
OL366259,2205501336.0,,,yes,,,,,
OL366260,2205501338.0,,,yes,,,,,
OL366261,2205501340.0,,,yes,,,,,
OL366262,2205501342.0,,,yes,,,,,
OL366263,2205501344.0,,,yes,,,,,
OL366266,2205501350.0,,,yes,,,,,
OL366269,2205501356.0,,,yes,,,,,
OL366270,2205501358.0,,,yes,,,,,
OL366271,2205501360.0,,,yes,,,,,
OL366274,2205501366.0,,,yes,,,,,
OL439254,2205501368.0,,,yes,,,,,
OL439256,2205501372.0,,,yes,,,,,
OL439257,2205501374.0,,,yes,,,,,
OL439258,2205501376.0,,,yes,,,,,
OL439259,2205501378.0,,,yes,,,,,
OL439261,2205501382.0,,,yes,,,,,
OL439262,2205501384.0,,,yes,,,,,
OL439263,2205501386.0,,,yes,,,,,
OL439402,2205501812.0,,,yes,,,,,
OL439441,2205502116.0,,,yes,,,,,
P01381,128937.0,P01381,,,,,,,
P01382,128934.0,P01382,,,,,,,
P01383,128931.0,P01383,,,,,,,
P01385,128920.0,P01385,,,,,,,
P01386,128944.0,P01386,,,,,,,
P01387,128936.0,P01387,,,,,,,
P01388,128942.0,P01388,,,,,,,
P01389,128928.0,P01389,,,,,,,
P01390,128933.0,P01390,,,,,,,
P01391,128930.0,P01391,,,,,,,
P01434,128956.0,P01434,,,,,,,
P0DQQ2,2055117366.0,P0DQQ2,,,,,,,
P13495,128953.0,P13495,,,,,,,
P25668,128932.0,P25668,,,,,,,
P25669,128943.0,P25669,,,,,,,
P25670,128921.0,P25670,,,,,,,
P25671,128947.0,P25671,,,,,,,
P25672,128950.0,P25672,,,,,,,
P25673,128952.0,P25673,,,,,,,
P25674,128929.0,P25674,,,,,,,
P34073,464289.0,P34073,,,,,,,
P34074,52001477.0,P34074,,,,,,,
P80156,128951.0,P80156,,,,,,,
P80965,2500806.0,P80965,,,,,,,
P86096,229891309.0,P86096,,,,,,,
QSI83924,1996370525.0,,,,A0A898IPM8,,,,
QSI83929,1996370535.0,,,,A0A898IJU7,,,,
QSI83932,1996370541.0,,,,A0A898IMZ3,,,,
QSI83934,1996370545.0,,,,A0A898IPN0,,,,
QSI83945,1996370567.0,,,,A0A898IPI9,,,,
QSI83952,1996370581.0,,,,A0A898IN70,,,,
QSI83956,1996370589.0,,,,A0A898INM0,,,,
QSI83963,1996370603.0,,,,A0A898ILP2,,,,
QSI83970,1996370617.0,,,,A0A898IL68,,,,
QSI83972,1996370621.0,,,,A0A898IN96,,,,
QSI83983,1996370643.0,,,,A0A898ILU1,,,,
X13372,62409.0,P19960,,,,,,,X13372
X91990,3355326.0,P60615,,,,,,,X91990
XM_015823117,1002599142.0,,,yes,,,,XM_015823117,
XM_015823118,1002599144.0,,,yes,,,,XM_015823118,
XM_015823122,1002599150.0,,,yes,,,,XM_015823122,
XM_026686981,1487356364.0,,,,A0A6J1VI58,,,XM_026686981,
XM_026705738,1488358108.0,,,yes,,,,XM_026705738,
XM_026716000,1488383627.0,,,yes,,,,XM_026716000,
XM_032222338,1804014664.0,,,yes,,,,XM_032222338,
XM_032222340,1804014667.0,,,yes,,,,XM_032222340,
XM_032222341,1804014669.0,,,yes,,,,XM_032222341,
XM_032222342,1804014671.0,,,yes,,,,XM_032222342,
XM_032222344,1804014675.0,,,yes,,,,XM_032222344,
XM_032222345,1804014678.0,,,yes,,,,XM_032222345,
XM_032222667,1804015384.0,,,yes,,,,XM_032222667,
XM_032222748,1804015553.0,,,yes,,,,XM_032222748,
XM_034419924,1841898001.0,,,,A0A6P9C7G6,,,XM_034419924,
XM_034419927,1841898007.0,,,,A0A6P9BW18,,,XM_034419927,
XM_034420112,1841898342.0,,,,A0A098LYH6,,,XM_034420112,
XM_034420113,1841898344.0,,,,A0A098LYG6,,,XM_034420113,
XM_034420114,1841898346.0,,,,A0A6P9C806,,,XM_034420114,
XM_034420115,1841898348.0,,,,A0A6P9C8Z9,,,XM_034420115,
XM_039332036,1974317745.0,,,yes,,,,XM_039332036,
XM_039332037,1974317748.0,,,yes,,,,XM_039332037,
XM_039332038,1974317752.0,,,yes,,,,XM_039332038,
XP_003223972,327278444.0,,,,R4G9L9,,,XP_003223972,
XP_003223979,327278458.0,,,,A0A803SUY0,,,XP_003223979,
XP_004580911,504136892.0,,,yes,,,,XP_004580911,
XP_005897669,555971315.0,,,,L8IFN6,,,XP_005897669,
XP_006152157,562846521.0,,,,L9KKE9,,,XP_006152157,
XP_006152158,562846523.0,,,,L9KKZ9,,,XP_006152158,
XP_006830798,586445202.0,,,,A0A6I9IW86,,,XP_006830798,
XP_009934706,700388947.0,,,yes,,,,XP_009934706,
XP_009973830,701344349.0,,,yes,,,,XP_009973830,
XP_016818891,1032922651.0,,,,A0A8C2M0U9,,,XP_016818891,
XP_023104058,1304962424.0,,,yes,,,,XP_023104058,
XP_026919554,1511990737.0,,,,A0A6J1ZSG1,,,XP_026919554,
XP_027687411,1561650393.0,,,yes,,,,XP_027687411,
XP_030122657,1720746908.0,,,yes,,,,XP_030122657,
XP_038616497,1952371841.0,,,yes,,,,XP_038616497,
XP_040521138,2024473328.0,,,yes,,,,XP_040521138,
XP_044309207,2118031427.0,,,yes,,,,XP_044309207,
XP_045836073,2181270248.0,,,yes,,,,XP_045836073,
XR_004255865,1804015394.0,,,yes,,,,XR_004255865,
XR_005555300,1974317750.0,,,yes,,,,XR_005555300,
XR_005555302,1974317754.0,,,yes,,,,XR_005555302,
XR_005555304,1974317756.0,,,yes,,,,XR_005555304,
XR_005557461,1974192829.0,,,yes,,,,XR_005557461,
XR_005557464,1974192856.0,,,yes,,,,XR_005557464,
Y17057,5689595.0,P60616,,,,,,,Y17057
Y17058,5689597.0,P60615,,,,,,,Y17058
GGUD01000006,,,,yes,,TSA:GGUD01,,,
GGUF01000001,,,,,A0A6G1S2N1,TSA:GGUF01,,,
GGUC01000007,,,,,A0A481MQP4,TSA:GGUC01,,,
GILR01002482,,,,yes,,TSA:GILR01,,,
GHPC01002050,,,,yes,,TSA:GHPC01,,,
GILR01002080,,,,yes,,TSA:GILR01,,,
GAMF01055489,673348153.0,,,yes,,TSA:GAMF01,,,
GGUB01000025,,,,yes,,TSA:GGUB01,,,
GGUG01000001,,,,yes,,TSA:GGUG01,,,
GGUB01000027,,,,yes,,TSA:GGUB01,,,
GGUC01000009,,,,,A0A481MQJ6,TSA:GGUC01,,,
GGUB01000024,,,,yes,,TSA:GGUB01,,,
GGUF01000002,,,,,A0A6G1S2M3,TSA:GGUF01,,,
GGUG01000002,,,,yes,,TSA:GGUG01,,,
GGUF01000003,,,,,A0A6G1S2M9,TSA:GGUF01,,,
GGUD01000001,,,,yes,,TSA:GGUD01,,,
GGUD01000007,,,,yes,,TSA:GGUD01,,,
GGUB01000002,,,,yes,,TSA:GGUB01,,,
GGUC01000002,,,,,A0A481MQK7,TSA:GGUC01,,,
GGUC01000001,,,,,A0A481MQL7,TSA:GGUC01,,,
GGUB01000005,,,,yes,,TSA:GGUB01,,,
ULFR01000082,1481897907.0,,,yes,,,,,ULFR01000082
AED89572,331691459.0,,,,F5CPE5,,,,
JAS05071,1041578551.0,,,,U3EPM9,TSA:GDBF,,,
JAS05188,1041578786.0,,,,A0A194APF0,TSA:GDBH,,,
JAS05190,1041578790.0,,,,A0A194ARB6,TSA:GDBH,,,
ULFR01000030,1481897959.0,,,yes,,,,,ULFR01000030
XP_015678608,1002599151,,,yes,,,,XP_015678608,
