identifier,major_group,taxon_id,species,uniprot_id,InterPro_id
InterPro|IPR035076_A0A3P7Q1J0|Dracunculus_medinensis,Snake toxin/toxin-like domain-containing protein,318479,Dracunculus medinensis,A0A3P7Q1J0,IPR035076
InterPro|IPR035076_A0A3P9N8U6|Poecilia_reticulata,UPAR/Ly6 domain-containing protein,8081,Poecilia reticulata,A0A3P9N8U6,IPR035076
InterPro|IPR035076_A0A3P9P1D9|Poecilia_reticulata,UPAR/Ly6 domain-containing protein,8081,Poecilia reticulata,A0A3P9P1D9,IPR035076
InterPro|IPR035076_A0A3Q2HTJ0|Equus_caballus,UPAR/Ly6 domain-containing protein,9796,Equus caballus,A0A3Q2HTJ0,IPR035076
InterPro|IPR035076_A0A3Q2I773|Equus_caballus,UPAR/Ly6 domain-containing protein,9796,Equus caballus,A0A3Q2I773,IPR035076
InterPro|IPR035076_A0A3Q2L1G7|Equus_caballus,UPAR/Ly6 domain-containing protein,9796,Equus caballus,A0A3Q2L1G7,IPR035076
InterPro|IPR035076_A0A3Q7QDY9|Callorhinus_ursinus,UPAR/Ly6 domain-containing protein,34884,Callorhinus ursinus,A0A3Q7QDY9,IPR035076
InterPro|IPR035076_A0A3Q7QFP3|Callorhinus_ursinus,UPAR/Ly6 domain-containing protein,34884,Callorhinus ursinus,A0A3Q7QFP3,IPR035076
InterPro|IPR035076_A0A3Q7QGI3|Callorhinus_ursinus,Snake toxin/toxin-like domain-containing protein,34884,Callorhinus ursinus,A0A3Q7QGI3,IPR035076
InterPro|IPR035076_A0A3Q7R3H1|Vulpes_vulpes,UPAR/Ly6 domain-containing protein,9627,Vulpes vulpes,A0A3Q7R3H1,IPR035076
InterPro|IPR035076_A0A3Q7RFA1|Vulpes_vulpes,UPAR/Ly6 domain-containing protein,9627,Vulpes vulpes,A0A3Q7RFA1,IPR035076
InterPro|IPR035076_A0A452CQ16|Balaenoptera_acutorostrata_scammoni,UPAR/Ly6 domain-containing protein,310752,Balaenoptera acutorostrata scammoni,A0A452CQ16,IPR035076
InterPro|IPR035076_A0A452EJA0|Capra_hircus,UPAR/Ly6 domain-containing protein,9925,Capra hircus,A0A452EJA0,IPR035076
InterPro|IPR035076_A0A452H3Z6|Gopherus_agassizii,UPAR/Ly6 domain-containing protein,38772,Gopherus agassizii,A0A452H3Z6,IPR035076
InterPro|IPR035076_A0A452H461|Gopherus_agassizii,UPAR/Ly6 domain-containing protein,38772,Gopherus agassizii,A0A452H461,IPR035076
InterPro|IPR035076_A0A452H4A4|Gopherus_agassizii,Snake toxin/toxin-like domain-containing protein,38772,Gopherus agassizii,A0A452H4A4,IPR035076
InterPro|IPR035076_A0A452I250|Gopherus_agassizii,UPAR/Ly6 domain-containing protein,38772,Gopherus agassizii,A0A452I250,IPR035076
InterPro|IPR035076_A0A452I274|Gopherus_agassizii,UPAR/Ly6 domain-containing protein,38772,Gopherus agassizii,A0A452I274,IPR035076
InterPro|IPR035076_A0A452ILP5|Gopherus_agassizii,UPAR/Ly6 domain-containing protein,38772,Gopherus agassizii,A0A452ILP5,IPR035076
InterPro|IPR035076_A0A452ILU8|Gopherus_agassizii,UPAR/Ly6 domain-containing protein,38772,Gopherus agassizii,A0A452ILU8,IPR035076
InterPro|IPR035076_A0A452RVP3|Ursus_americanus,UPAR/Ly6 domain-containing protein,9643,Ursus americanus,A0A452RVP3,IPR035076
InterPro|IPR035076_A0A452RVV5|Ursus_americanus,UPAR/Ly6 domain-containing protein,9643,Ursus americanus,A0A452RVV5,IPR035076
InterPro|IPR035076_A0A452V3N4|Ursus_maritimus,UPAR/Ly6 domain-containing protein,29073,Ursus maritimus,A0A452V3N4,IPR035076
InterPro|IPR035076_A0A452V3R0|Ursus_maritimus,UPAR/Ly6 domain-containing protein,29073,Ursus maritimus,A0A452V3R0,IPR035076
InterPro|IPR035076_A0A484GPZ7|Sousa_chinensis,UPAR/Ly6 domain-containing protein,103600,Sousa chinensis,A0A484GPZ7,IPR035076
InterPro|IPR035076_A0A484GQV8|Sousa_chinensis,Snake toxin/toxin-like domain-containing protein,103600,Sousa chinensis,A0A484GQV8,IPR035076
InterPro|IPR035076_A0A485PX75|Lynx_pardinus,UPAR/Ly6 domain-containing protein,191816,Lynx pardinus,A0A485PX75,IPR035076
InterPro|IPR035076_A0A493TX52|Anas_platyrhynchos_platyrhynchos,UPAR/Ly6 domain-containing protein,8840,Anas platyrhynchos platyrhynchos,A0A493TX52,IPR035076
InterPro|IPR035076_A0A493TZM5|Anas_platyrhynchos_platyrhynchos,UPAR/Ly6 domain-containing protein,8840,Anas platyrhynchos platyrhynchos,A0A493TZM5,IPR035076
InterPro|IPR035076_A0A498LT07|Labeo_rohita,Snake toxin/toxin-like domain-containing protein,84645,Labeo rohita,A0A498LT07,IPR035076
InterPro|IPR035076_A0A498MKX1|Labeo_rohita,UPAR/Ly6 domain-containing protein,84645,Labeo rohita,A0A498MKX1,IPR035076
InterPro|IPR035076_A0A498NGS1|Labeo_rohita,UPAR/Ly6 domain-containing protein,84645,Labeo rohita,A0A498NGS1,IPR035076
InterPro|IPR035076_A0A4D9E3P7|Platysternon_megacephalum,UPAR/Ly6 domain-containing protein,55544,Platysternon megacephalum,A0A4D9E3P7,IPR035076
InterPro|IPR035076_A0A4E9F6G7|Brugia_malayi,Snake toxin/toxin-like domain-containing protein,6279,Brugia malayi,A0A4E9F6G7,IPR035076
InterPro|IPR035076_A0A4S2L018|Opisthorchis_felineus,Snake toxin/toxin-like domain-containing protein,147828,Opisthorchis felineus,A0A4S2L018,IPR035076
InterPro|IPR035076_A0A4U1F4M5|Monodon_monoceros,UPAR/Ly6 domain-containing protein,40151,Monodon monoceros,A0A4U1F4M5,IPR035076
InterPro|IPR035076_A0A4U1F4W8|Monodon_monoceros,UPAR/Ly6 domain-containing protein,40151,Monodon monoceros,A0A4U1F4W8,IPR035076
InterPro|IPR035076_A0A4U5MQN2|Steinernema_carpocapsae,Snake toxin/toxin-like domain-containing protein,34508,Steinernema carpocapsae,A0A4U5MQN2,IPR035076
InterPro|IPR035076_A0A4W2C2V3|Bos_indicus_x_Bos_taurus,UPAR/Ly6 domain-containing protein,30522,Bos indicus x Bos taurus,A0A4W2C2V3,IPR035076
InterPro|IPR035076_A0A4W2C5H3|Bos_indicus_x_Bos_taurus,UPAR/Ly6 domain-containing protein,30522,Bos indicus x Bos taurus,A0A4W2C5H3,IPR035076
InterPro|IPR035076_A0A4W2CL51|Bos_indicus_x_Bos_taurus,UPAR/Ly6 domain-containing protein,30522,Bos indicus x Bos taurus,A0A4W2CL51,IPR035076
InterPro|IPR035076_A0A4W2F4W1|Bos_indicus_x_Bos_taurus,UPAR/Ly6 domain-containing protein,30522,Bos indicus x Bos taurus,A0A4W2F4W1,IPR035076
InterPro|IPR035076_A0A4X1SDC1|Sus_scrofa,UPAR/Ly6 domain-containing protein,9823,Sus scrofa,A0A4X1SDC1,IPR035076
InterPro|IPR035076_A0A4X1SDC5|Sus_scrofa,UPAR/Ly6 domain-containing protein,9823,Sus scrofa,A0A4X1SDC5,IPR035076
InterPro|IPR035076_A0A4X2K2K4|Vombatus_ursinus,Snake toxin/toxin-like domain-containing protein,29139,Vombatus ursinus,A0A4X2K2K4,IPR035076
InterPro|IPR035076_A0A4X2LGR9|Vombatus_ursinus,UPAR/Ly6 domain-containing protein,29139,Vombatus ursinus,A0A4X2LGR9,IPR035076
InterPro|IPR035076_A0A4X2LGS7|Vombatus_ursinus,UPAR/Ly6 domain-containing protein,29139,Vombatus ursinus,A0A4X2LGS7,IPR035076
InterPro|IPR035076_A0A4X2LJP8|Vombatus_ursinus,UPAR/Ly6 domain-containing protein,29139,Vombatus ursinus,A0A4X2LJP8,IPR035076
InterPro|IPR035076_A0A4X2LQT7|Vombatus_ursinus,UPAR/Ly6 domain-containing protein,29139,Vombatus ursinus,A0A4X2LQT7,IPR035076
InterPro|IPR035076_A0A4Z2CML1|Schistosoma_japonicum,Snake toxin/toxin-like domain-containing protein,6182,Schistosoma japonicum,A0A4Z2CML1,IPR035076
InterPro|IPR035076_A0A5F4VQR2|Callithrix_jacchus,UPAR/Ly6 domain-containing protein,9483,Callithrix jacchus,A0A5F4VQR2,IPR035076
InterPro|IPR035076_A0A5F5PHG4|Equus_caballus,UPAR/Ly6 domain-containing protein,9796,Equus caballus,A0A5F5PHG4,IPR035076
InterPro|IPR035076_A0A5F7ZL24|Macaca_mulatta,UPAR/Ly6 domain-containing protein,9544,Macaca mulatta,A0A5F7ZL24,IPR035076
InterPro|IPR035076_A0A5F8A4Z2|Macaca_mulatta,UPAR/Ly6 domain-containing protein,9544,Macaca mulatta,A0A5F8A4Z2,IPR035076
InterPro|IPR035076_A0A5F8GZR6|Monodelphis_domestica,Snake toxin/toxin-like domain-containing protein,13616,Monodelphis domestica,A0A5F8GZR6,IPR035076
InterPro|IPR035076_A0A5K1IB80|Caenorhabditis_elegans,Snake toxin/toxin-like domain-containing protein,6239,Caenorhabditis elegans,A0A5K1IB80,IPR035076
InterPro|IPR035076_A0A5N3W8U0|Muntiacus_muntjak,UPAR/Ly6 domain-containing protein,9888,Muntiacus muntjak,A0A5N3W8U0,IPR035076
InterPro|IPR035076_A0A5N3W9G5|Muntiacus_muntjak,UPAR/Ly6 domain-containing protein,9888,Muntiacus muntjak,A0A5N3W9G5,IPR035076
InterPro|IPR035076_A0A5N3WAD4|Muntiacus_muntjak,UPAR/Ly6 domain-containing protein,9888,Muntiacus muntjak,A0A5N3WAD4,IPR035076
InterPro|IPR035076_A0A5N3XE22|Muntiacus_reevesi,UPAR/Ly6 domain-containing protein,9886,Muntiacus reevesi,A0A5N3XE22,IPR035076
InterPro|IPR035076_A0A5N3XEC3|Muntiacus_reevesi,UPAR/Ly6 domain-containing protein,9886,Muntiacus reevesi,A0A5N3XEC3,IPR035076
InterPro|IPR035076_A0A5N3XGA0|Muntiacus_reevesi,UPAR/Ly6 domain-containing protein,9886,Muntiacus reevesi,A0A5N3XGA0,IPR035076
InterPro|IPR035076_A0A5N4CGY1|Camelus_dromedarius,UPAR/Ly6 domain-containing protein,9838,Camelus dromedarius,A0A5N4CGY1,IPR035076
InterPro|IPR035076_A0A5N4CH13|Camelus_dromedarius,UPAR/Ly6 domain-containing protein,9838,Camelus dromedarius,A0A5N4CH13,IPR035076
InterPro|IPR035076_A0A5N4CH58|Camelus_dromedarius,UPAR/Ly6 domain-containing protein,9838,Camelus dromedarius,A0A5N4CH58,IPR035076
InterPro|IPR035076_A0A643BR53|Balaenoptera_physalus,UPAR/Ly6 domain-containing protein,9770,Balaenoptera physalus,A0A643BR53,IPR035076
InterPro|IPR035076_A0A663E1J0|Aquila_chrysaetos_chrysaetos,UPAR/Ly6 domain-containing protein,223781,Aquila chrysaetos chrysaetos,A0A663E1J0,IPR035076
InterPro|IPR035076_A0A663E1P1|Aquila_chrysaetos_chrysaetos,UPAR/Ly6 domain-containing protein,223781,Aquila chrysaetos chrysaetos,A0A663E1P1,IPR035076
InterPro|IPR035076_A0A663E225|Aquila_chrysaetos_chrysaetos,Snake toxin/toxin-like domain-containing protein,223781,Aquila chrysaetos chrysaetos,A0A663E225,IPR035076
InterPro|IPR035076_A0A663E235|Aquila_chrysaetos_chrysaetos,UPAR/Ly6 domain-containing protein,223781,Aquila chrysaetos chrysaetos,A0A663E235,IPR035076
InterPro|IPR035076_A0A663LQP2|Athene_cunicularia,UPAR/Ly6 domain-containing protein,194338,Athene cunicularia,A0A663LQP2,IPR035076
InterPro|IPR035076_A0A663LQP5|Athene_cunicularia,UPAR/Ly6 domain-containing protein,194338,Athene cunicularia,A0A663LQP5,IPR035076
InterPro|IPR035076_A0A663LQS5|Athene_cunicularia,UPAR/Ly6 domain-containing protein,194338,Athene cunicularia,A0A663LQS5,IPR035076
InterPro|IPR035076_A0A667HUJ7|Lynx_canadensis,UPAR/Ly6 domain-containing protein,61383,Lynx canadensis,A0A667HUJ7,IPR035076
InterPro|IPR035076_A0A667HUN2|Lynx_canadensis,UPAR/Ly6 domain-containing protein,61383,Lynx canadensis,A0A667HUN2,IPR035076
InterPro|IPR035076_A0A667IAE4|Lynx_canadensis,UPAR/Ly6 domain-containing protein,61383,Lynx canadensis,A0A667IAE4,IPR035076
InterPro|IPR035076_A0A667IDK0|Lynx_canadensis,UPAR/Ly6 domain-containing protein,61383,Lynx canadensis,A0A667IDK0,IPR035076
InterPro|IPR035076_A0A668T0A1|Oreochromis_aureus,UPAR/Ly6 domain-containing protein,47969,Oreochromis aureus,A0A668T0A1,IPR035076
InterPro|IPR035076_A0A668TVL3|Oreochromis_aureus,UPAR/Ly6 domain-containing protein,47969,Oreochromis aureus,A0A668TVL3,IPR035076
InterPro|IPR035076_A0A669E0K5|Oreochromis_niloticus,UPAR/Ly6 domain-containing protein,8128,Oreochromis niloticus,A0A669E0K5,IPR035076
InterPro|IPR035076_A0A669FA48|Oreochromis_niloticus,UPAR/Ly6 domain-containing protein,8128,Oreochromis niloticus,A0A669FA48,IPR035076
InterPro|IPR035076_A0A669P8S2|Phasianus_colchicus,UPAR/Ly6 domain-containing protein,9054,Phasianus colchicus,A0A669P8S2,IPR035076
InterPro|IPR035076_A0A669P8S7|Phasianus_colchicus,UPAR/Ly6 domain-containing protein,9054,Phasianus colchicus,A0A669P8S7,IPR035076
InterPro|IPR035076_A0A669PD69|Phasianus_colchicus,UPAR/Ly6 domain-containing protein,9054,Phasianus colchicus,A0A669PD69,IPR035076
InterPro|IPR035076_A0A669PG07|Phasianus_colchicus,UPAR/Ly6 domain-containing protein,9054,Phasianus colchicus,A0A669PG07,IPR035076
InterPro|IPR035076_A0A669PG10|Phasianus_colchicus,UPAR/Ly6 domain-containing protein,9054,Phasianus colchicus,A0A669PG10,IPR035076
InterPro|IPR035076_A0A670I9C8|Podarcis_muralis,UPAR/Ly6 domain-containing protein,64176,Podarcis muralis,A0A670I9C8,IPR035076
InterPro|IPR035076_A0A670I9D7|Podarcis_muralis,Snake toxin/toxin-like domain-containing protein,64176,Podarcis muralis,A0A670I9D7,IPR035076
InterPro|IPR035076_A0A670I9L5|Podarcis_muralis,UPAR/Ly6 domain-containing protein,64176,Podarcis muralis,A0A670I9L5,IPR035076
InterPro|IPR035076_A0A670I9N6|Podarcis_muralis,Snake toxin/toxin-like domain-containing protein,64176,Podarcis muralis,A0A670I9N6,IPR035076
InterPro|IPR035076_A0A670I9Q0|Podarcis_muralis,Snake toxin/toxin-like domain-containing protein,64176,Podarcis muralis,A0A670I9Q0,IPR035076
InterPro|IPR035076_A0A670I9Q4|Podarcis_muralis,Snake toxin/toxin-like domain-containing protein,64176,Podarcis muralis,A0A670I9Q4,IPR035076
InterPro|IPR035076_A0A670I9W4|Podarcis_muralis,Snake toxin/toxin-like domain-containing protein,64176,Podarcis muralis,A0A670I9W4,IPR035076
InterPro|IPR035076_A0A670ZVF9|Pseudonaja_textilis,Snake toxin/toxin-like domain-containing protein,8673,Pseudonaja textilis,A0A670ZVF9,IPR035076
InterPro|IPR035076_A0A670ZVG3|Pseudonaja_textilis,UPAR/Ly6 domain-containing protein,8673,Pseudonaja textilis,A0A670ZVG3,IPR035076
InterPro|IPR035076_A0A670ZVT6|Pseudonaja_textilis,UPAR/Ly6 domain-containing protein,8673,Pseudonaja textilis,A0A670ZVT6,IPR035076
InterPro|IPR035076_A0A670ZVU1|Pseudonaja_textilis,UPAR/Ly6 domain-containing protein,8673,Pseudonaja textilis,A0A670ZVU1,IPR035076
InterPro|IPR035076_A0A670ZVX0|Pseudonaja_textilis,UPAR/Ly6 domain-containing protein,8673,Pseudonaja textilis,A0A670ZVX0,IPR035076
InterPro|IPR035076_A0A670ZVX5|Pseudonaja_textilis,UPAR/Ly6 domain-containing protein,8673,Pseudonaja textilis,A0A670ZVX5,IPR035076
InterPro|IPR035076_A0A670ZW04|Pseudonaja_textilis,UPAR/Ly6 domain-containing protein,8673,Pseudonaja textilis,A0A670ZW04,IPR035076
InterPro|IPR035076_A0A671F8Q9|Rhinolophus_ferrumequinum,UPAR/Ly6 domain-containing protein,59479,Rhinolophus ferrumequinum,A0A671F8Q9,IPR035076
InterPro|IPR035076_A0A671FEA5|Rhinolophus_ferrumequinum,UPAR/Ly6 domain-containing protein,59479,Rhinolophus ferrumequinum,A0A671FEA5,IPR035076
InterPro|IPR035076_A0A671FIA2|Rhinolophus_ferrumequinum,UPAR/Ly6 domain-containing protein,59479,Rhinolophus ferrumequinum,A0A671FIA2,IPR035076
InterPro|IPR035076_A0A671PE07|Sinocyclocheilus_anshuiensis,UPAR/Ly6 domain-containing protein,1608454,Sinocyclocheilus anshuiensis,A0A671PE07,IPR035076
InterPro|IPR035076_A0A671PFH2|Sinocyclocheilus_anshuiensis,UPAR/Ly6 domain-containing protein,1608454,Sinocyclocheilus anshuiensis,A0A671PFH2,IPR035076
InterPro|IPR035076_A0A671PJ74|Sinocyclocheilus_anshuiensis,UPAR/Ly6 domain-containing protein,1608454,Sinocyclocheilus anshuiensis,A0A671PJ74,IPR035076
InterPro|IPR035076_A0A671QGB3|Sinocyclocheilus_anshuiensis,UPAR/Ly6 domain-containing protein,1608454,Sinocyclocheilus anshuiensis,A0A671QGB3,IPR035076
InterPro|IPR035076_A0A672KJW9|Sinocyclocheilus_grahami,UPAR/Ly6 domain-containing protein,75366,Sinocyclocheilus grahami,A0A672KJW9,IPR035076
InterPro|IPR035076_A0A672KLN8|Sinocyclocheilus_grahami,UPAR/Ly6 domain-containing protein,75366,Sinocyclocheilus grahami,A0A672KLN8,IPR035076
InterPro|IPR035076_A0A672KS24|Sinocyclocheilus_grahami,UPAR/Ly6 domain-containing protein,75366,Sinocyclocheilus grahami,A0A672KS24,IPR035076
InterPro|IPR035076_A0A672KY89|Sinocyclocheilus_grahami,Snake toxin/toxin-like domain-containing protein,75366,Sinocyclocheilus grahami,A0A672KY89,IPR035076
InterPro|IPR035076_A0A672QTL1|Sinocyclocheilus_grahami,UPAR/Ly6 domain-containing protein,75366,Sinocyclocheilus grahami,A0A672QTL1,IPR035076
InterPro|IPR035076_A0A672TH77|Strigops_habroptila,UPAR/Ly6 domain-containing protein,2489341,Strigops habroptila,A0A672TH77,IPR035076
InterPro|IPR035076_A0A672TI63|Strigops_habroptila,Snake toxin/toxin-like domain-containing protein,2489341,Strigops habroptila,A0A672TI63,IPR035076
InterPro|IPR035076_A0A672TJI5|Strigops_habroptila,UPAR/Ly6 domain-containing protein,2489341,Strigops habroptila,A0A672TJI5,IPR035076
InterPro|IPR035076_A0A672TKV9|Strigops_habroptila,Snake toxin/toxin-like domain-containing protein,2489341,Strigops habroptila,A0A672TKV9,IPR035076
InterPro|IPR035076_A0A673AYP3|Sphaeramia_orbicularis,UPAR/Ly6 domain-containing protein,375764,Sphaeramia orbicularis,A0A673AYP3,IPR035076
InterPro|IPR035076_A0A673FN79|Sinocyclocheilus_rhinocerous,UPAR/Ly6 domain-containing protein,307959,Sinocyclocheilus rhinocerous,A0A673FN79,IPR035076
InterPro|IPR035076_A0A673FRW7|Sinocyclocheilus_rhinocerous,Snake toxin/toxin-like domain-containing protein,307959,Sinocyclocheilus rhinocerous,A0A673FRW7,IPR035076
InterPro|IPR035076_A0A673VQ90|Suricata_suricatta,UPAR/Ly6 domain-containing protein,37032,Suricata suricatta,A0A673VQ90,IPR035076
InterPro|IPR035076_A0A674H8U9|Taeniopygia_guttata,UPAR/Ly6 domain-containing protein,59729,Taeniopygia guttata,A0A674H8U9,IPR035076
InterPro|IPR035076_A0A674HVT0|Terrapene_carolina_triunguis,UPAR/Ly6 domain-containing protein,2587831,Terrapene carolina triunguis,A0A674HVT0,IPR035076
InterPro|IPR035076_A0A674HWZ6|Terrapene_carolina_triunguis,UPAR/Ly6 domain-containing protein,2587831,Terrapene carolina triunguis,A0A674HWZ6,IPR035076
InterPro|IPR035076_A0A674HXA1|Terrapene_carolina_triunguis,UPAR/Ly6 domain-containing protein,2587831,Terrapene carolina triunguis,A0A674HXA1,IPR035076
InterPro|IPR035076_A0A674J2S9|Terrapene_carolina_triunguis,UPAR/Ly6 domain-containing protein,2587831,Terrapene carolina triunguis,A0A674J2S9,IPR035076
InterPro|IPR035076_A0A6A5H2U6|Caenorhabditis_remanei,Snake toxin/toxin-like domain-containing protein,31234,Caenorhabditis remanei,A0A6A5H2U6,IPR035076
InterPro|IPR035076_A0A6A5HSE7|Caenorhabditis_remanei,Snake toxin/toxin-like domain-containing protein,31234,Caenorhabditis remanei,A0A6A5HSE7,IPR035076
InterPro|IPR035076_A0A6B0RU59|Bos_mutus,UPAR/Ly6 domain-containing protein,72004,Bos mutus,A0A6B0RU59,IPR035076
InterPro|IPR035076_A0A6B0RU91|Bos_mutus,Snake toxin/toxin-like domain-containing protein,72004,Bos mutus,A0A6B0RU91,IPR035076
InterPro|IPR035076_A0A6B0RWQ9|Bos_mutus,UPAR/Ly6 domain-containing protein,72004,Bos mutus,A0A6B0RWQ9,IPR035076
InterPro|IPR035076_A0A6D2Y0K5|Pan_troglodytes,UPAR/Ly6 domain-containing protein,9598,Pan troglodytes,A0A6D2Y0K5,IPR035076
InterPro|IPR035076_A0A6G1A5U2|Crocuta_crocuta,UPAR/Ly6 domain-containing protein,9678,Crocuta crocuta,A0A6G1A5U2,IPR035076
InterPro|IPR035076_A0A6G1A6H0|Crocuta_crocuta,UPAR/Ly6 domain-containing protein,9678,Crocuta crocuta,A0A6G1A6H0,IPR035076
InterPro|IPR035076_A0A6I8N2M3|Ornithorhynchus_anatinus,UPAR/Ly6 domain-containing protein,9258,Ornithorhynchus anatinus,A0A6I8N2M3,IPR035076
InterPro|IPR035076_A0A6I8Q7E6|Xenopus_tropicalis,Snake toxin/toxin-like domain-containing protein,8364,Xenopus tropicalis,A0A6I8Q7E6,IPR035076
InterPro|IPR035076_A0A6I8QZ65|Xenopus_tropicalis,UPAR/Ly6 domain-containing protein,8364,Xenopus tropicalis,A0A6I8QZ65,IPR035076
InterPro|IPR035076_A0A6I8R478|Xenopus_tropicalis,UPAR/Ly6 domain-containing protein,8364,Xenopus tropicalis,A0A6I8R478,IPR035076
InterPro|IPR035076_A0A6I8RFS5|Xenopus_tropicalis,UPAR/Ly6 domain-containing protein,8364,Xenopus tropicalis,A0A6I8RFS5,IPR035076
InterPro|IPR035076_A0A6I9HSA1|Geospiza_fortis,UPAR/Ly6 domain-containing protein,48883,Geospiza fortis,A0A6I9HSA1,IPR035076
InterPro|IPR035076_A0A6I9HTY3|Geospiza_fortis,UPAR/Ly6 domain-containing protein,48883,Geospiza fortis,A0A6I9HTY3,IPR035076
InterPro|IPR035076_A0A6I9HUY7|Geospiza_fortis,UPAR/Ly6 domain-containing protein,48883,Geospiza fortis,A0A6I9HUY7,IPR035076
InterPro|IPR035076_A0A6I9IGE8|Vicugna_pacos,UPAR/Ly6 domain-containing protein,30538,Vicugna pacos,A0A6I9IGE8,IPR035076
InterPro|IPR035076_A0A6I9IVN7|Vicugna_pacos,Snake toxin/toxin-like domain-containing protein,30538,Vicugna pacos,A0A6I9IVN7,IPR035076
InterPro|IPR035076_A0A6I9M499|Peromyscus_maniculatus_bairdii,Snake toxin/toxin-like domain-containing protein,230844,Peromyscus maniculatus bairdii,A0A6I9M499,IPR035076
InterPro|IPR035076_A0A6I9M4G0|Peromyscus_maniculatus_bairdii,UPAR/Ly6 domain-containing protein,230844,Peromyscus maniculatus bairdii,A0A6I9M4G0,IPR035076
InterPro|IPR035076_A0A6I9M898|Peromyscus_maniculatus_bairdii,UPAR/Ly6 domain-containing protein,230844,Peromyscus maniculatus bairdii,A0A6I9M898,IPR035076
InterPro|IPR035076_A0A6I9YDN4|Thamnophis_sirtalis,Snake toxin/toxin-like domain-containing protein,35019,Thamnophis sirtalis,A0A6I9YDN4,IPR035076
InterPro|IPR035076_A0A6I9YE31|Thamnophis_sirtalis,Snake toxin/toxin-like domain-containing protein,35019,Thamnophis sirtalis,A0A6I9YE31,IPR035076
InterPro|IPR035076_A0A6I9ZAH2|Geospiza_fortis,UPAR/Ly6 domain-containing protein,48883,Geospiza fortis,A0A6I9ZAH2,IPR035076
InterPro|IPR035076_A0A6J0J1T5|Lepidothrix_coronata,UPAR/Ly6 domain-containing protein,321398,Lepidothrix coronata,A0A6J0J1T5,IPR035076
InterPro|IPR035076_A0A6J0J1X6|Lepidothrix_coronata,UPAR/Ly6 domain-containing protein,321398,Lepidothrix coronata,A0A6J0J1X6,IPR035076
InterPro|IPR035076_A0A6J0J3Q7|Lepidothrix_coronata,UPAR/Ly6 domain-containing protein,321398,Lepidothrix coronata,A0A6J0J3Q7,IPR035076
InterPro|IPR035076_A0A6J0J3R1|Lepidothrix_coronata,UPAR/Ly6 domain-containing protein,321398,Lepidothrix coronata,A0A6J0J3R1,IPR035076
InterPro|IPR035076_A0A6J0J3T9|Lepidothrix_coronata,UPAR/Ly6 domain-containing protein,321398,Lepidothrix coronata,A0A6J0J3T9,IPR035076
InterPro|IPR035076_A0A6J0SA87|Pogona_vitticeps,Snake toxin/toxin-like domain-containing protein,103695,Pogona vitticeps,A0A6J0SA87,IPR035076
InterPro|IPR035076_A0A6J0V3I0|Pogona_vitticeps,UPAR/Ly6 domain-containing protein,103695,Pogona vitticeps,A0A6J0V3I0,IPR035076
InterPro|IPR035076_A0A6J0V3I5|Pogona_vitticeps,UPAR/Ly6 domain-containing protein,103695,Pogona vitticeps,A0A6J0V3I5,IPR035076
InterPro|IPR035076_A0A6J0V7J7|Pogona_vitticeps,UPAR/Ly6 domain-containing protein,103695,Pogona vitticeps,A0A6J0V7J7,IPR035076
InterPro|IPR035076_A0A6J0V7K1|Pogona_vitticeps,Snake toxin/toxin-like domain-containing protein,103695,Pogona vitticeps,A0A6J0V7K1,IPR035076
InterPro|IPR035076_A0A6J0V7L0|Pogona_vitticeps,UPAR/Ly6 domain-containing protein,103695,Pogona vitticeps,A0A6J0V7L0,IPR035076
InterPro|IPR035076_A0A6J0V7L5|Pogona_vitticeps,Snake toxin/toxin-like domain-containing protein,103695,Pogona vitticeps,A0A6J0V7L5,IPR035076
InterPro|IPR035076_A0A6J0XEE4|Odocoileus_virginianus_texanus,UPAR/Ly6 domain-containing protein,9880,Odocoileus virginianus texanus,A0A6J0XEE4,IPR035076
InterPro|IPR035076_A0A6J0Y249|Odocoileus_virginianus_texanus,UPAR/Ly6 domain-containing protein,9880,Odocoileus virginianus texanus,A0A6J0Y249,IPR035076
InterPro|IPR035076_A0A6J0Y251|Odocoileus_virginianus_texanus,UPAR/Ly6 domain-containing protein,9880,Odocoileus virginianus texanus,A0A6J0Y251,IPR035076
InterPro|IPR035076_A0A6J0Y317|Odocoileus_virginianus_texanus,UPAR/Ly6 domain-containing protein,9880,Odocoileus virginianus texanus,A0A6J0Y317,IPR035076
InterPro|IPR035076_A0A6J1VSH2|Notechis_scutatus,Snake toxin/toxin-like domain-containing protein,8663,Notechis scutatus,A0A6J1VSH2,IPR035076
InterPro|IPR035076_A0A6J1VSS5|Notechis_scutatus,UPAR/Ly6 domain-containing protein,8663,Notechis scutatus,A0A6J1VSS5,IPR035076
InterPro|IPR035076_A0A6J1VXS3|Notechis_scutatus,Snake toxin/toxin-like domain-containing protein,8663,Notechis scutatus,A0A6J1VXS3,IPR035076
InterPro|IPR035076_A0A6J1VYT0|Notechis_scutatus,Snake toxin/toxin-like domain-containing protein,8663,Notechis scutatus,A0A6J1VYT0,IPR035076
InterPro|IPR035076_A0A6J1W0Q9|Notechis_scutatus,UPAR/Ly6 domain-containing protein,8663,Notechis scutatus,A0A6J1W0Q9,IPR035076
InterPro|IPR035076_A0A6J1W1E9|Notechis_scutatus,UPAR/Ly6 domain-containing protein,8663,Notechis scutatus,A0A6J1W1E9,IPR035076
