Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A6P6R6C1	unreviewed	Snake toxin/toxin-like domain-containing protein	7957	Carassius auratus	154	IPR035076	56..131
A0A6P7WSB6	unreviewed	Snake toxin/toxin-like domain-containing protein	1415580	Microcaecilia unicolor	138	IPR035076	25..101
A0A6P7X0R9	unreviewed	UPAR/Ly6 domain-containing protein	1415580	Microcaecilia unicolor	106	IPR035076	22..94
A0A6P7X7A8	unreviewed	UPAR/Ly6 domain-containing protein	1415580	Microcaecilia unicolor	121	IPR035076	22..92
A0A6P7Z8D7	unreviewed	Snake toxin/toxin-like domain-containing protein	1415580	Microcaecilia unicolor	173	IPR035076	22..101
A0A6P7ZH77	unreviewed	UPAR/Ly6 domain-containing protein	1415580	Microcaecilia unicolor	119	IPR035076	21..92
A0A6P7ZLI9	unreviewed	UPAR/Ly6 domain-containing protein	1415580	Microcaecilia unicolor	125	IPR035076	21..96
A0A6P7ZLK9	unreviewed	UPAR/Ly6 domain-containing protein	1415580	Microcaecilia unicolor	121	IPR035076	21..92
A0A6P7ZLR4	unreviewed	UPAR/Ly6 domain-containing protein	1415580	Microcaecilia unicolor	120	IPR035076	21..92
A0A6P8PMQ1	unreviewed	UPAR/Ly6 domain-containing protein	260995	Geotrypetes seraphini	124	IPR035076	21..95
A0A6P8PTC0	unreviewed	UPAR/Ly6 domain-containing protein	260995	Geotrypetes seraphini	96	IPR035076	21..91
A0A6P8PZB5	unreviewed	UPAR/Ly6 domain-containing protein	260995	Geotrypetes seraphini	99	IPR035076	21..93
A0A6P8Q0D8	unreviewed	UPAR/Ly6 domain-containing protein	260995	Geotrypetes seraphini	140	IPR035076	21..94
A0A6P8Q3T5	unreviewed	UPAR/Ly6 domain-containing protein	260995	Geotrypetes seraphini	119	IPR035076	21..92
A0A6P8QF03	unreviewed	UPAR/Ly6 domain-containing protein	260995	Geotrypetes seraphini	308	IPR035076	209..280
A0A6P8QU99	unreviewed	UPAR/Ly6 domain-containing protein	260995	Geotrypetes seraphini	127	IPR035076	24..98
A0A6P8QV84	unreviewed	UPAR/Ly6 domain-containing protein	260995	Geotrypetes seraphini	127	IPR035076	21..92
A0A6P9BW18	unreviewed	UPAR/Ly6 domain-containing protein	94885	Pantherophis guttatus	126	IPR035076	22..96
A0A6P9BXG3	unreviewed	UPAR/Ly6 domain-containing protein	94885	Pantherophis guttatus	153	IPR035076	52..123
A0A6P9C7G6	unreviewed	UPAR/Ly6 domain-containing protein	94885	Pantherophis guttatus	140	IPR035076	38..114
A0A6P9C8D4	unreviewed	UPAR/Ly6 domain-containing protein	94885	Pantherophis guttatus	134	IPR035076	32..108
A0A6P9C8D7	unreviewed	UPAR/Ly6 domain-containing protein	94885	Pantherophis guttatus	126	IPR035076	22..97
A0A6P9C8Z9	unreviewed	Snake toxin/toxin-like domain-containing protein	94885	Pantherophis guttatus	89	IPR035076	23..86
A0A6P9DAJ3	unreviewed	Snake toxin/toxin-like domain-containing protein	94885	Pantherophis guttatus	91	IPR035076	21..90
A0A7E4ZYH8	unreviewed	Snake toxin/toxin-like domain-containing protein	6233	Panagrellus redivivus	158	IPR035076	62..119
A0A7I5E9C6	unreviewed	Snake toxin/toxin-like domain-containing protein	6289	Haemonchus contortus	130	IPR035076	33..91
A0A7J6BV79	unreviewed	Uncharacterized protein	369639	Onychostoma macrolepis	161	IPR035076	22..56
A0A7J6BV85	unreviewed	UPAR/Ly6 domain-containing protein	369639	Onychostoma macrolepis	151	IPR035076	18..48
A0A7J7EUI8	unreviewed	UPAR/Ly6 domain-containing protein	77932	Diceros bicornis minor	146	IPR035076	45..120
A0A7J7F771	unreviewed	Snake toxin/toxin-like domain-containing protein	77932	Diceros bicornis minor	147	IPR035076	81..116
A0A7J7F831	unreviewed	UPAR/Ly6 domain-containing protein	77932	Diceros bicornis minor	116	IPR035076	21..92
A0A7J7TIU9	unreviewed	UPAR/Ly6 domain-containing protein	51298	Myotis myotis	127	IPR035076	21..92
A0A7J7TIW0	unreviewed	UPAR/Ly6 domain-containing protein	51298	Myotis myotis	182	IPR035076	71..148
A0A7J7TIY8	unreviewed	UPAR/Ly6 domain-containing protein	51298	Myotis myotis	116	IPR035076	21..92
A0A7J7VE46	unreviewed	UPAR/Ly6 domain-containing protein	59479	Rhinolophus ferrumequinum	208	IPR035076	113..184
A0A7J7VEA2	unreviewed	UPAR/Ly6 domain-containing protein	59479	Rhinolophus ferrumequinum	116	IPR035076	21..92
A0A7J7VER8	unreviewed	UPAR/Ly6 domain-containing protein	59479	Rhinolophus ferrumequinum	127	IPR035076	23..100
A0A7J7VMM4	unreviewed	UPAR/Ly6 domain-containing protein	59472	Pipistrellus kuhlii	126	IPR035076	24..100
A0A7J7VMR6	unreviewed	UPAR/Ly6 domain-containing protein	59472	Pipistrellus kuhlii	116	IPR035076	21..92
A0A7J8BBG0	unreviewed	UPAR/Ly6 domain-containing protein	27622	Molossus molossus	118	IPR035076	21..92
A0A7J8BBH3	unreviewed	UPAR/Ly6 domain-containing protein	27622	Molossus molossus	127	IPR035076	21..92
A0A7J8C325	unreviewed	UPAR/Ly6 domain-containing protein	9407	Rousettus aegyptiacus	113	IPR035076	18..89
A0A7J8C326	unreviewed	UPAR/Ly6 domain-containing protein	9407	Rousettus aegyptiacus	127	IPR035076	27..100
A0A7K4J2A9	unreviewed	UPAR/Ly6 domain-containing protein	8947	Geococcyx californianus	87	IPR035076	6..79
A0A7K4JBN9	unreviewed	UPAR/Ly6 domain-containing protein	8947	Geococcyx californianus	124	IPR035076	19..94
A0A7K4JMQ1	unreviewed	UPAR/Ly6 domain-containing protein	8947	Geococcyx californianus	105	IPR035076	25..99
A0A7K4JMR1	unreviewed	UPAR/Ly6 domain-containing protein	8947	Geococcyx californianus	107	IPR035076	3..77
A0A7K4JMZ9	unreviewed	UPAR/Ly6 domain-containing protein	8947	Geococcyx californianus	112	IPR035076	8..82
A0A7K4JTN9	unreviewed	Snake toxin/toxin-like domain-containing protein	8947	Geococcyx californianus	72	IPR035076	4..42
A0A7K4K243	unreviewed	Snake toxin/toxin-like domain-containing protein	458187	Crypturellus soui	646	IPR035076	439..474
A0A7K4KN32	unreviewed	UPAR/Ly6 domain-containing protein	458187	Crypturellus soui	112	IPR035076	8..82
A0A7K4KNC3	unreviewed	UPAR/Ly6 domain-containing protein	458187	Crypturellus soui	107	IPR035076	3..77
A0A7K4KY65	unreviewed	Snake toxin/toxin-like domain-containing protein	458187	Crypturellus soui	91	IPR035076	11..85
A0A7K4LQN6	unreviewed	Snake toxin/toxin-like domain-containing protein	48396	Crypturellus undulatus	284	IPR035076	76..111
A0A7K4LRY5	unreviewed	Snake toxin/toxin-like domain-containing protein	48396	Crypturellus undulatus	91	IPR035076	11..85
A0A7K4M1K7	unreviewed	UPAR/Ly6 domain-containing protein	48396	Crypturellus undulatus	112	IPR035076	8..82
A0A7K4M1L3	unreviewed	UPAR/Ly6 domain-containing protein	48396	Crypturellus undulatus	107	IPR035076	3..77
A0A7K4Q2Y6	unreviewed	Snake toxin/toxin-like domain-containing protein	44397	Melospiza melodia	94	IPR035076	5..88
A0A7K4Q2Y9	unreviewed	UPAR/Ly6 domain-containing protein	44397	Melospiza melodia	88	IPR035076	6..79
A0A7K4Q300	unreviewed	UPAR/Ly6 domain-containing protein	44397	Melospiza melodia	110	IPR035076	5..80
A0A7K4Q3A3	unreviewed	UPAR/Ly6 domain-containing protein	44397	Melospiza melodia	112	IPR035076	9..82
A0A7K4Q3B4	unreviewed	UPAR/Ly6 domain-containing protein	44397	Melospiza melodia	109	IPR035076	3..79
A0A7K4QY64	unreviewed	UPAR/Ly6 domain-containing protein	456388	Neopipo cinnamomea	97	IPR035076	19..91
A0A7K4QY93	unreviewed	UPAR/Ly6 domain-containing protein	456388	Neopipo cinnamomea	105	IPR035076	5..76
A0A7K4QYA1	unreviewed	UPAR/Ly6 domain-containing protein	456388	Neopipo cinnamomea	107	IPR035076	3..77
A0A7K4QYE9	unreviewed	UPAR/Ly6 domain-containing protein	456388	Neopipo cinnamomea	108	IPR035076	4..79
A0A7K4QYH9	unreviewed	UPAR/Ly6 domain-containing protein	456388	Neopipo cinnamomea	112	IPR035076	8..82
A0A7K4RRL4	unreviewed	Snake toxin/toxin-like domain-containing protein	115618	Columbina picui	99	IPR035076	19..99
A0A7K4RRL7	unreviewed	UPAR/Ly6 domain-containing protein	115618	Columbina picui	112	IPR035076	9..82
A0A7K4RRN2	unreviewed	UPAR/Ly6 domain-containing protein	115618	Columbina picui	104	IPR035076	5..75
A0A7K4RRQ2	unreviewed	UPAR/Ly6 domain-containing protein	115618	Columbina picui	127	IPR035076	22..97
A0A7K4RT94	unreviewed	UPAR/Ly6 domain-containing protein	115618	Columbina picui	109	IPR035076	3..79
A0A7K4T804	unreviewed	UPAR/Ly6 domain-containing protein	240201	Burhinus bistriatus	110	IPR035076	6..80
A0A7K4T870	unreviewed	UPAR/Ly6 domain-containing protein	240201	Burhinus bistriatus	109	IPR035076	4..79
A0A7K4T8R0	unreviewed	UPAR/Ly6 domain-containing protein	240201	Burhinus bistriatus	109	IPR035076	2..79
A0A7K4TA83	unreviewed	UPAR/Ly6 domain-containing protein	240201	Burhinus bistriatus	89	IPR035076	5..83
A0A7K4TXV1	unreviewed	UPAR/Ly6 domain-containing protein	337173	Sinosuthora webbiana	109	IPR035076	5..80
A0A7K4U5I3	unreviewed	UPAR/Ly6 domain-containing protein	337173	Sinosuthora webbiana	107	IPR035076	3..77
A0A7K4U637	unreviewed	UPAR/Ly6 domain-containing protein	337173	Sinosuthora webbiana	86	IPR035076	5..80
A0A7K4U7K6	unreviewed	UPAR/Ly6 domain-containing protein	337173	Sinosuthora webbiana	112	IPR035076	8..82
A0A7K4VCE1	unreviewed	UPAR/Ly6 domain-containing protein	337179	Emberiza fucata	109	IPR035076	3..79
A0A7K4VCE5	unreviewed	UPAR/Ly6 domain-containing protein	337179	Emberiza fucata	112	IPR035076	9..82
A0A7K4VCP4	unreviewed	Snake toxin/toxin-like domain-containing protein	337179	Emberiza fucata	107	IPR035076	18..101
A0A7K4VEN9	unreviewed	UPAR/Ly6 domain-containing protein	337179	Emberiza fucata	127	IPR035076	22..97
A0A7K4WYE4	unreviewed	UPAR/Ly6 domain-containing protein	495162	Tachuris rubrigastra	112	IPR035076	8..82
A0A7K4WYV1	unreviewed	UPAR/Ly6 domain-containing protein	495162	Tachuris rubrigastra	124	IPR035076	19..94
A0A7K4WYW2	unreviewed	UPAR/Ly6 domain-containing protein	495162	Tachuris rubrigastra	107	IPR035076	3..77
A0A7K4WZG8	unreviewed	UPAR/Ly6 domain-containing protein	495162	Tachuris rubrigastra	87	IPR035076	5..81
A0A7K4XAA5	unreviewed	Snake toxin/toxin-like domain-containing protein	13245	Regulus satrapa	87	IPR035076	3..79
A0A7K4XQD4	unreviewed	UPAR/Ly6 domain-containing protein	13245	Regulus satrapa	104	IPR035076	5..75
A0A7K4Y3A3	unreviewed	Snake toxin/toxin-like domain-containing protein	13245	Regulus satrapa	88	IPR035076	5..82
A0A7K4Y3E5	unreviewed	UPAR/Ly6 domain-containing protein	13245	Regulus satrapa	112	IPR035076	8..82
A0A7K4Y3G4	unreviewed	UPAR/Ly6 domain-containing protein	13245	Regulus satrapa	109	IPR035076	3..79
A0A7K4Y3H6	unreviewed	UPAR/Ly6 domain-containing protein	13245	Regulus satrapa	124	IPR035076	19..94
A0A7K4YGE9	unreviewed	Snake toxin/toxin-like domain-containing protein	153643	Bucorvus abyssinicus	105	IPR035076	21..99
A0A7K4YGF7	unreviewed	UPAR/Ly6 domain-containing protein	153643	Bucorvus abyssinicus	112	IPR035076	8..82
A0A7K4YGM0	unreviewed	UPAR/Ly6 domain-containing protein	153643	Bucorvus abyssinicus	109	IPR035076	4..79
A0A7K4YGU2	unreviewed	UPAR/Ly6 domain-containing protein	153643	Bucorvus abyssinicus	109	IPR035076	3..79
A0A7K4ZMT6	unreviewed	UPAR/Ly6 domain-containing protein	1118519	Centropus unirufus	102	IPR035076	20..96
A0A7K4ZMZ0	unreviewed	UPAR/Ly6 domain-containing protein	1118519	Centropus unirufus	112	IPR035076	9..82
A0A7K4ZNC9	unreviewed	UPAR/Ly6 domain-containing protein	1118519	Centropus unirufus	109	IPR035076	4..79
A0A7K5B2Z6	unreviewed	UPAR/Ly6 domain-containing protein	463165	Furnarius figulus	104	IPR035076	5..75
A0A7K5B9D7	unreviewed	UPAR/Ly6 domain-containing protein	463165	Furnarius figulus	86	IPR035076	4..80
A0A7K5B9I2	unreviewed	UPAR/Ly6 domain-containing protein	463165	Furnarius figulus	108	IPR035076	4..79
A0A7K5B9J7	unreviewed	UPAR/Ly6 domain-containing protein	463165	Furnarius figulus	107	IPR035076	3..77
A0A7K5BBN6	unreviewed	UPAR/Ly6 domain-containing protein	463165	Furnarius figulus	112	IPR035076	8..82
A0A7K5BWJ7	unreviewed	UPAR/Ly6 domain-containing protein	45807	Motacilla alba	94	IPR035076	5..88
A0A7K5BWL6	unreviewed	UPAR/Ly6 domain-containing protein	45807	Motacilla alba	112	IPR035076	9..82
A0A7K5BXI4	unreviewed	UPAR/Ly6 domain-containing protein	45807	Motacilla alba	109	IPR035076	5..80
A0A7K5BXN2	unreviewed	UPAR/Ly6 domain-containing protein	45807	Motacilla alba	109	IPR035076	3..79
A0A7K5CVM4	unreviewed	UPAR/Ly6 domain-containing protein	369605	Pachyramphus minor	87	IPR035076	4..81
A0A7K5DGD8	unreviewed	UPAR/Ly6 domain-containing protein	369605	Pachyramphus minor	109	IPR035076	4..79
A0A7K5DGE1	unreviewed	UPAR/Ly6 domain-containing protein	369605	Pachyramphus minor	107	IPR035076	3..77
A0A7K5DHN7	unreviewed	UPAR/Ly6 domain-containing protein	369605	Pachyramphus minor	112	IPR035076	8..82
A0A7K5DVI2	unreviewed	UPAR/Ly6 domain-containing protein	66707	Polioptila caerulea	112	IPR035076	9..82
A0A7K5DVJ4	unreviewed	UPAR/Ly6 domain-containing protein	66707	Polioptila caerulea	87	IPR035076	5..81
A0A7K5DVP3	unreviewed	UPAR/Ly6 domain-containing protein	66707	Polioptila caerulea	107	IPR035076	3..77
A0A7K5DVY9	unreviewed	UPAR/Ly6 domain-containing protein	66707	Polioptila caerulea	126	IPR035076	22..97
A0A7K5DXX1	unreviewed	UPAR/Ly6 domain-containing protein	66707	Polioptila caerulea	87	IPR035076	3..79
A0A7K5DZP2	unreviewed	UPAR/Ly6 domain-containing protein	66707	Polioptila caerulea	104	IPR035076	5..75
A0A7K5FGK7	unreviewed	UPAR/Ly6 domain-containing protein	141839	Probosciger aterrimus	107	IPR035076	3..77
A0A7K5FHB9	unreviewed	UPAR/Ly6 domain-containing protein	141839	Probosciger aterrimus	86	IPR035076	5..80
A0A7K5FIC9	unreviewed	UPAR/Ly6 domain-containing protein	141839	Probosciger aterrimus	112	IPR035076	8..82
A0A7K5G9D7	unreviewed	UPAR/Ly6 domain-containing protein	1352770	Chunga burmeisteri	127	IPR035076	22..97
A0A7K5G9J1	unreviewed	Snake toxin/toxin-like domain-containing protein	1352770	Chunga burmeisteri	106	IPR035076	20..100
A0A7K5G9M6	unreviewed	UPAR/Ly6 domain-containing protein	1352770	Chunga burmeisteri	112	IPR035076	8..82
A0A7K5G9N3	unreviewed	UPAR/Ly6 domain-containing protein	1352770	Chunga burmeisteri	109	IPR035076	2..79
A0A7K5HX60	unreviewed	UPAR/Ly6 domain-containing protein	33598	Crotophaga sulcirostris	112	IPR035076	8..82
A0A7K5HX90	unreviewed	UPAR/Ly6 domain-containing protein	33598	Crotophaga sulcirostris	102	IPR035076	4..73
A0A7K5HX94	unreviewed	UPAR/Ly6 domain-containing protein	33598	Crotophaga sulcirostris	124	IPR035076	19..94
A0A7K5HXF8	unreviewed	Snake toxin/toxin-like domain-containing protein	33598	Crotophaga sulcirostris	107	IPR035076	21..101
A0A7K5HXQ6	unreviewed	UPAR/Ly6 domain-containing protein	33598	Crotophaga sulcirostris	87	IPR035076	6..79
A0A7K5HYF1	unreviewed	UPAR/Ly6 domain-containing protein	33598	Crotophaga sulcirostris	107	IPR035076	2..77
A0A7K5IYR2	unreviewed	UPAR/Ly6 domain-containing protein	99882	Toxostoma redivivum	107	IPR035076	3..77
A0A7K5IYR7	unreviewed	UPAR/Ly6 domain-containing protein	99882	Toxostoma redivivum	112	IPR035076	9..82
A0A7K5IYS1	unreviewed	UPAR/Ly6 domain-containing protein	99882	Toxostoma redivivum	105	IPR035076	5..76
A0A7K5IZ39	unreviewed	UPAR/Ly6 domain-containing protein	99882	Toxostoma redivivum	109	IPR035076	5..80
A0A7K5J053	unreviewed	UPAR/Ly6 domain-containing protein	99882	Toxostoma redivivum	87	IPR035076	5..81
A0A7K5K912	unreviewed	UPAR/Ly6 domain-containing protein	254557	Mionectes macconnelli	87	IPR035076	5..81
A0A7K5K921	unreviewed	UPAR/Ly6 domain-containing protein	254557	Mionectes macconnelli	107	IPR035076	3..77
A0A7K5K9M2	unreviewed	UPAR/Ly6 domain-containing protein	254557	Mionectes macconnelli	114	IPR035076	10..84
A0A7K5K9V3	unreviewed	UPAR/Ly6 domain-containing protein	254557	Mionectes macconnelli	126	IPR035076	21..96
A0A7K5KQJ4	unreviewed	UPAR/Ly6 domain-containing protein	34956	Vireo altiloquus	112	IPR035076	9..82
A0A7K5KQX5	unreviewed	UPAR/Ly6 domain-containing protein	34956	Vireo altiloquus	98	IPR035076	16..92
A0A7K5KR66	unreviewed	UPAR/Ly6 domain-containing protein	34956	Vireo altiloquus	110	IPR035076	5..80
A0A7K5KRI8	unreviewed	UPAR/Ly6 domain-containing protein	34956	Vireo altiloquus	107	IPR035076	3..77
A0A7K5MIC4	unreviewed	UPAR/Ly6 domain-containing protein	98964	Cardinalis cardinalis	112	IPR035076	9..82
A0A7K5MID1	unreviewed	UPAR/Ly6 domain-containing protein	98964	Cardinalis cardinalis	94	IPR035076	5..88
A0A7K5MIH5	unreviewed	UPAR/Ly6 domain-containing protein	98964	Cardinalis cardinalis	109	IPR035076	5..80
A0A7K5MKA9	unreviewed	UPAR/Ly6 domain-containing protein	98964	Cardinalis cardinalis	107	IPR035076	3..77
A0A7K5NGL2	unreviewed	UPAR/Ly6 domain-containing protein	287016	Chroicocephalus maculipennis	127	IPR035076	22..97
A0A7K5NGL3	unreviewed	UPAR/Ly6 domain-containing protein	287016	Chroicocephalus maculipennis	112	IPR035076	8..82
A0A7K5NGT5	unreviewed	UPAR/Ly6 domain-containing protein	287016	Chroicocephalus maculipennis	105	IPR035076	22..99
A0A7K5NJ82	unreviewed	UPAR/Ly6 domain-containing protein	287016	Chroicocephalus maculipennis	109	IPR035076	2..79
A0A7K5P918	unreviewed	UPAR/Ly6 domain-containing protein	107208	Erythrocercus mccallii	109	IPR035076	5..80
A0A7K5P922	unreviewed	UPAR/Ly6 domain-containing protein	107208	Erythrocercus mccallii	112	IPR035076	9..82
A0A7K5PAC2	unreviewed	UPAR/Ly6 domain-containing protein	107208	Erythrocercus mccallii	86	IPR035076	5..80
A0A7K5PB49	unreviewed	UPAR/Ly6 domain-containing protein	107208	Erythrocercus mccallii	107	IPR035076	4..77
A0A7K5QPG5	unreviewed	UPAR/Ly6 domain-containing protein	670356	Prunella himalayana	87	IPR035076	6..79
A0A7K5QPM9	unreviewed	UPAR/Ly6 domain-containing protein	670356	Prunella himalayana	109	IPR035076	3..79
A0A7K5QPN8	unreviewed	UPAR/Ly6 domain-containing protein	670356	Prunella himalayana	110	IPR035076	5..80
A0A7K5QPT4	unreviewed	UPAR/Ly6 domain-containing protein	670356	Prunella himalayana	100	IPR035076	18..94
A0A7K5QRT3	unreviewed	UPAR/Ly6 domain-containing protein	670356	Prunella himalayana	112	IPR035076	8..82
A0A7K5S396	unreviewed	UPAR/Ly6 domain-containing protein	28713	Lanius ludovicianus	109	IPR035076	5..80
A0A7K5S3B2	unreviewed	UPAR/Ly6 domain-containing protein	28713	Lanius ludovicianus	112	IPR035076	8..82
A0A7K5S3W9	unreviewed	UPAR/Ly6 domain-containing protein	28713	Lanius ludovicianus	87	IPR035076	5..81
A0A7K5S4P7	unreviewed	UPAR/Ly6 domain-containing protein	28713	Lanius ludovicianus	107	IPR035076	3..77
A0A7K5SU52	unreviewed	UPAR/Ly6 domain-containing protein	571890	Urocynchramus pylzowi	94	IPR035076	5..88
A0A7K5SU58	unreviewed	UPAR/Ly6 domain-containing protein	571890	Urocynchramus pylzowi	112	IPR035076	9..82
A0A7K5SVV4	unreviewed	UPAR/Ly6 domain-containing protein	571890	Urocynchramus pylzowi	107	IPR035076	3..77
A0A7K5TU57	unreviewed	UPAR/Ly6 domain-containing protein	114276	Cephalopterus ornatus	107	IPR035076	3..77
A0A7K5TU85	unreviewed	UPAR/Ly6 domain-containing protein	114276	Cephalopterus ornatus	112	IPR035076	8..82
A0A7K5TUA6	unreviewed	UPAR/Ly6 domain-containing protein	114276	Cephalopterus ornatus	118	IPR035076	14..89
A0A7K5U0R5	unreviewed	UPAR/Ly6 domain-containing protein	114276	Cephalopterus ornatus	94	IPR035076	12..88
A0A7K5UQR5	unreviewed	UPAR/Ly6 domain-containing protein	1160851	Platysteira castanea	112	IPR035076	9..82
A0A7K5URD6	unreviewed	UPAR/Ly6 domain-containing protein	1160851	Platysteira castanea	107	IPR035076	3..77
A0A7K5USR2	unreviewed	UPAR/Ly6 domain-containing protein	1160851	Platysteira castanea	109	IPR035076	5..80
A0A7K5WNA2	unreviewed	UPAR/Ly6 domain-containing protein	208073	Hylia prasina	86	IPR035076	5..80
A0A7K5WNZ0	unreviewed	UPAR/Ly6 domain-containing protein	208073	Hylia prasina	109	IPR035076	5..80
A0A7K5WP06	unreviewed	UPAR/Ly6 domain-containing protein	208073	Hylia prasina	112	IPR035076	9..82
A0A7K5WQ37	unreviewed	UPAR/Ly6 domain-containing protein	208073	Hylia prasina	107	IPR035076	3..77
A0A7K5X8Z6	unreviewed	UPAR/Ly6 domain-containing protein	458190	Dromas ardeola	107	IPR035076	2..77
A0A7K5X9X1	unreviewed	UPAR/Ly6 domain-containing protein	458190	Dromas ardeola	103	IPR035076	22..97
A0A7K5XBB5	unreviewed	UPAR/Ly6 domain-containing protein	458190	Dromas ardeola	127	IPR035076	22..97
A0A7K5XCP6	unreviewed	UPAR/Ly6 domain-containing protein	458190	Dromas ardeola	112	IPR035076	8..82
A0A7K5YPH7	unreviewed	UPAR/Ly6 domain-containing protein	2585816	Pterocles burchelli	109	IPR035076	3..79
A0A7K5YPH9	unreviewed	UPAR/Ly6 domain-containing protein	2585816	Pterocles burchelli	109	IPR035076	5..79
A0A7K5YPX4	unreviewed	Snake toxin/toxin-like domain-containing protein	2585816	Pterocles burchelli	104	IPR035076	20..98
A0A7K5YRG3	unreviewed	UPAR/Ly6 domain-containing protein	2585816	Pterocles burchelli	112	IPR035076	9..82
A0A7K6A9Z3	unreviewed	UPAR/Ly6 domain-containing protein	360224	Onychorhynchus coronatus	107	IPR035076	3..77
A0A7K6A9Z4	unreviewed	UPAR/Ly6 domain-containing protein	360224	Onychorhynchus coronatus	112	IPR035076	8..82
A0A7K6AA69	unreviewed	Snake toxin/toxin-like domain-containing protein	360224	Onychorhynchus coronatus	87	IPR035076	6..79
A0A7K6AB69	unreviewed	UPAR/Ly6 domain-containing protein	360224	Onychorhynchus coronatus	135	IPR035076	30..105
A0A7K6ABI4	unreviewed	Snake toxin/toxin-like domain-containing protein	360224	Onychorhynchus coronatus	107	IPR035076	21..101
A0A7K6BHH0	unreviewed	UPAR/Ly6 domain-containing protein	57439	Upupa epops	107	IPR035076	3..77
A0A7K6BJ08	unreviewed	UPAR/Ly6 domain-containing protein	28724	Ptilonorhynchus violaceus	112	IPR035076	8..82
A0A7K6BJ21	unreviewed	UPAR/Ly6 domain-containing protein	28724	Ptilonorhynchus violaceus	107	IPR035076	3..77
A0A7K6BJ28	unreviewed	UPAR/Ly6 domain-containing protein	28724	Ptilonorhynchus violaceus	109	IPR035076	5..80
A0A7K6BJ89	unreviewed	UPAR/Ly6 domain-containing protein	57439	Upupa epops	116	IPR035076	10..86
A0A7K6BKE1	unreviewed	UPAR/Ly6 domain-containing protein	57439	Upupa epops	107	IPR035076	7..81
A0A7K6D7N7	unreviewed	UPAR/Ly6 domain-containing protein	720586	Origma solitaria	112	IPR035076	9..82
A0A7K6D7Q3	unreviewed	UPAR/Ly6 domain-containing protein	720586	Origma solitaria	107	IPR035076	3..77
A0A7K6D9N8	unreviewed	UPAR/Ly6 domain-containing protein	720586	Origma solitaria	104	IPR035076	5..75
A0A7K6D9Z7	unreviewed	UPAR/Ly6 domain-containing protein	720586	Origma solitaria	123	IPR035076	18..93
A0A7K6EA35	unreviewed	UPAR/Ly6 domain-containing protein	266360	Grantiella picta	112	IPR035076	8..82
A0A7K6EAP7	unreviewed	Snake toxin/toxin-like domain-containing protein	266360	Grantiella picta	87	IPR035076	6..79
A0A7K6EAV4	unreviewed	UPAR/Ly6 domain-containing protein	266360	Grantiella picta	109	IPR035076	3..79
A0A7K6EBI5	unreviewed	UPAR/Ly6 domain-containing protein	266360	Grantiella picta	101	IPR035076	19..95
A0A7K6ECQ1	unreviewed	UPAR/Ly6 domain-containing protein	266360	Grantiella picta	104	IPR035076	5..75
A0A7K6EDY9	unreviewed	UPAR/Ly6 domain-containing protein	266360	Grantiella picta	127	IPR035076	22..97
A0A7K6G3D1	unreviewed	UPAR/Ly6 domain-containing protein	254528	Daphoenositta chrysoptera	107	IPR035076	3..77
A0A7K6G3F9	unreviewed	UPAR/Ly6 domain-containing protein	254528	Daphoenositta chrysoptera	112	IPR035076	8..82
A0A7K6GY05	unreviewed	UPAR/Ly6 domain-containing protein	720584	Malurus elegans	112	IPR035076	8..82
A0A7K6GY82	unreviewed	UPAR/Ly6 domain-containing protein	720584	Malurus elegans	109	IPR035076	3..79
A0A7K6HU41	unreviewed	UPAR/Ly6 domain-containing protein	243059	Dasyornis broadbenti	104	IPR035076	4..75
A0A7K6HU46	unreviewed	UPAR/Ly6 domain-containing protein	243059	Dasyornis broadbenti	111	IPR035076	7..81
A0A7K6HU48	unreviewed	UPAR/Ly6 domain-containing protein	243059	Dasyornis broadbenti	107	IPR035076	3..77
A0A7K6HU51	unreviewed	Snake toxin/toxin-like domain-containing protein	243059	Dasyornis broadbenti	86	IPR035076	6..79
A0A7K6HUB1	unreviewed	UPAR/Ly6 domain-containing protein	243059	Dasyornis broadbenti	126	IPR035076	22..97
A0A7K6HUB6	unreviewed	UPAR/Ly6 domain-containing protein	243059	Dasyornis broadbenti	87	IPR035076	5..81
A0A7K6JJ22	unreviewed	UPAR/Ly6 domain-containing protein	1160894	Machaerirhynchus nigripectus	107	IPR035076	3..77
A0A7K6JKA4	unreviewed	UPAR/Ly6 domain-containing protein	1160894	Machaerirhynchus nigripectus	112	IPR035076	8..82
A0A7K6JKV7	unreviewed	UPAR/Ly6 domain-containing protein	1160894	Machaerirhynchus nigripectus	87	IPR035076	6..81
A0A7K6K1Y5	unreviewed	UPAR/Ly6 domain-containing protein	979223	Oreocharis arfaki	110	IPR035076	5..80
A0A7K6K2M7	unreviewed	UPAR/Ly6 domain-containing protein	979223	Oreocharis arfaki	112	IPR035076	8..82
A0A7K6K3M9	unreviewed	UPAR/Ly6 domain-containing protein	979223	Oreocharis arfaki	109	IPR035076	3..79
A0A7K6K469	unreviewed	UPAR/Ly6 domain-containing protein	979223	Oreocharis arfaki	87	IPR035076	5..81
A0A7K6LCL9	unreviewed	UPAR/Ly6 domain-containing protein	254539	Falcunculus frontatus	100	IPR035076	18..94
A0A7K6LCX2	unreviewed	UPAR/Ly6 domain-containing protein	254539	Falcunculus frontatus	109	IPR035076	3..79
